elite,gamma,new_gamma,yty_gamma,diff,name,party,infor
1.08E+18,0.303859724,0.030439629,0.012681237,0.017758393,Rep. Russ Fulcher,R,Rep. Russ Fulcher - Republican
1.08E+18,-0.278074007,-0.164298561,-0.16400721,-2.91E-04,Rep. Joe Neguse,D,Rep. Joe Neguse - Democrat
1.08E+18,-0.205299734,-0.067491441,-0.076645153,0.009153711,Rep. Abigail Spanberger,D,Rep. Abigail Spanberger - Democrat
1.08E+18,-0.266889299,-0.049724984,-0.057754832,0.008029847,The Office of Congressman Andy Kim,D,The Office of Congressman Andy Kim - Democrat
1.08E+18,-0.134803441,-0.035185543,-0.045049422,0.009863879,Congresswoman Susie Lee,D,Congresswoman Susie Lee - Democrat
1.08E+18,-0.23951088,-0.166738878,-0.157361499,-0.009377379,Rep. Alexandria Ocasio-Cortez,D,Rep. Alexandria Ocasio-Cortez - Democrat
1.08E+18,-0.240854078,-0.174166744,-0.165963716,-0.008203029,Congresswoman Rashida Tlaib,D,Congresswoman Rashida Tlaib - Democrat
1.08E+18,0.346057622,0.039496012,0.023201286,0.016294726,Congressman William Timmons,R,Congressman William Timmons - Republican
1.08E+18,-0.214948256,-0.049507105,-0.058725505,0.0092184,Lori Trahan,D,Lori Trahan - Democrat
1079997618,0.260014608,0.032379682,0.017733891,0.014645791,Clifford D. May,R,Clifford D. May - Political commentator and analyst (Not a politician)
1.08E+18,-0.259992934,-0.074327396,-0.079344593,0.005017197,Rep. Jason Crow,D,Rep. Jason Crow - Democrat
1.08E+18,-0.215094308,-0.051319896,-0.061791564,0.010471668,Angie Craig,D,Angie Craig - Democrat
1.08E+18,-0.206739192,-0.021498454,-0.033172114,0.01167366,Rep. Andy Levin,D,Rep. Andy Levin - Democrat
1.08E+18,-0.182637623,-0.046664425,-0.057251221,0.010586796,Elaine Luria,D,Elaine Luria - Democrat
1.08E+18,-0.189342216,-0.025744447,-0.037390907,0.01164646,"Rep. Kim Schrier, M.D.",D,"Rep. Kim Schrier, M.D. - Democrat"
1.08E+18,0.481323309,0.10474199,0.094696734,0.010045255,Rep. Mark Green,R,Rep. Mark Green - Republican
1.08E+18,-0.190736921,-0.018804595,-0.028051261,0.009246666,Congressman Antonio Delgado,D,Congressman Antonio Delgado - Democrat
1080509366,-0.141059723,-0.038454402,-0.04874536,0.010290958,Congressman Bill Foster,D,Congressman Bill Foster - Democrat
1.08E+18,0.421948631,0.062259922,0.047832188,0.014427734,Congressman Kelly Armstrong,R,Congressman Kelly Armstrong - Republican
1.08E+18,-0.26092828,-0.081876173,-0.089206111,0.007329937,Rep. Sharice Davids,D,Rep. Sharice Davids - Democrat
1.08E+18,-0.26989589,-0.113992425,-0.118364858,0.004372433,Rep. Lauren Underwood,D,Rep. Lauren Underwood - Democrat
1.08E+18,-0.230630442,-0.07945966,-0.087546765,0.008087105,Rep. Mikie Sherrill,D,Rep. Mikie Sherrill - Democrat
1.08E+18,-0.174591226,-0.026237775,-0.037444317,0.011206541,Rep. David Trone,D,Rep. David Trone - Democrat
1.08E+18,0.410896201,0.056837619,0.04140669,0.015430929,Congressman Dan Meuser,R,Congressman Dan Meuser - Republican
1.08E+18,-0.258394784,-0.197545069,-0.188179788,-0.009365281,Congresswoman Ayanna Pressley,D,Congresswoman Ayanna Pressley - Democrat
1.08E+18,-0.230449475,-0.086309886,-0.092597349,0.006287463,Rep. Sylvia Garcia,D,Rep. Sylvia Garcia - Democrat
1.08E+18,-0.271518811,-0.108646869,-0.11358176,0.004934891,Rep. Deb Haaland,D,Rep. Deb Haaland - Democrat
1080844782,-0.031280682,-0.037475411,-0.038151293,6.76E-04,Kyrsten Sinema,D,Kyrsten Sinema - Democrat (Senator)
1.08E+18,-0.212449315,-0.037132782,-0.05002168,0.012888898,Rep. Josh Harder,D,Rep. Josh Harder - Democrat
1.08E+18,0.353228556,0.040647692,0.025115258,0.015532434,Ron Wright,R,Ron Wright - Republican
1.08E+18,-0.170673923,-0.029861912,-0.04160361,0.011741698,ARCHIVED: Rep. Cindy Axne,D,ARCHIVED: Rep. Cindy Axne - Democrat
1.08E+18,0.33950467,0.06056139,0.046931565,0.013629825,Senator Mike Braun,R,Senator Mike Braun - Republican
1.08E+18,-0.158415801,-0.020020678,-0.031414591,0.011393913,Rep. Greg Stanton,D,Rep. Greg Stanton - Democrat
1.08E+18,-0.127876548,-0.017540186,-0.031413654,0.013873468,Congressman Jared Golden,D,Congressman Jared Golden - Democrat
1.08E+18,0.579858178,0.084677087,0.078697169,0.005979918,Rep. Dan Crenshaw,R,Rep. Dan Crenshaw - Republican
1.08E+18,-0.179245938,-0.023068845,-0.035371238,0.012302393,Archived: Rep. Tom Malinowski,D,Archived: Rep. Tom Malinowski - Democrat
1.08E+18,0.434450598,0.074263844,0.064218811,0.010045033,Senator Hawley Press Office,R,Senator Hawley Press Office - Republican
1.08E+18,-0.282475753,-0.287357623,-0.276628359,-0.010729264,Rep. Katie Porter,D,Rep. Katie Porter - Democrat
1.08E+18,-0.150975168,-0.019842597,-0.031657431,0.011814834,Rep. Ann Kirkpatrick,D,Rep. Ann Kirkpatrick - Democrat
1.08E+18,0.329043288,0.035619696,0.017071774,0.018547922,Congressman Michael Guest,R,Congressman Michael Guest - Republican
1.08E+18,0.411327255,0.046827922,0.030572887,0.016255035,Congressman John Rose,R,Congressman John Rose - Republican
1.08E+18,0.365068098,0.039849672,0.025254381,0.014595291,Rep. Carol Miller,R,Rep. Carol Miller - Republican
1.08E+18,-0.104439682,-0.010804973,-0.02495992,0.014154948,Rep. Ed Case,D,Rep. Ed Case - Democrat
1.08E+18,-0.241664707,-0.066782166,-0.074561412,0.007779247,Jahana Hayes,D,Jahana Hayes - Democrat
1.08E+18,0.398701161,0.048947872,0.033961646,0.014986225,"John Joyce, M.D.",R,"John Joyce, M.D. - Republican"
1.08E+18,-0.218204689,-0.029193284,-0.034219033,0.005025748,Rep. Ilhan Omar,D,Rep. Ilhan Omar - Democrat
1.08E+18,0.340532886,0.038553617,0.023047556,0.015506062,Rep. Greg Pence,R,Rep. Greg Pence - Republican
1.08E+18,-0.248311538,-0.075021526,-0.082318678,0.007297152,Rep. Lucy McBath,D,Rep. Lucy McBath - Democrat
1.08E+18,0.376873482,0.058169912,0.045754278,0.012415634,Congressman Waltz Press,R,"Congressman Waltz Press - Information not available (may refer to Rep. Michael Waltz, a Republican)"
1.08E+18,-0.214337683,-0.03287467,-0.043106346,0.010231676,Congressman Chuy García,D,Congressman Chuy Garc�a - Democrat
1.08E+18,0.46999776,0.095050791,0.081921602,0.013129189,Rep. Chip Roy Press Office,R,Rep. Chip Roy Press Office - Republican
1.08E+18,0.483708965,0.082025507,0.066576932,0.015448575,Congressman Greg Steube,R,Congressman Greg Steube - Republican
1083448909,-0.090150255,-0.016846459,-0.031446504,0.014600045,US Rep. Filemon Vela,D,US Rep. Filemon Vela - Democrat
1.08E+18,-0.219639544,-0.039673675,-0.050349529,0.010675854,Rep. Sean Casten,D,Rep. Sean Casten - Democrat
1.08E+18,0.235113811,0.027545326,0.009048619,0.018496707,Congressman Jim Hagedorn,R,Congressman Jim Hagedorn - Republican
1.09E+18,0.26444584,0.025685562,0.009534721,0.016150841,Congressman Jim Baird,R,Congressman Jim Baird - Republican
1089334250,0.21657495,0.035012027,0.016593741,0.018418286,Rep. Andy Barr,R,Rep. Andy Barr - Republican
1089859058,-0.145921066,-0.033081622,-0.043613237,0.010531614,"Congressman Raul Ruiz, M.D.",D,"Congressman Raul Ruiz, M.D. - Democrat"
109071031,-0.139676486,-0.086265143,-0.088681063,0.002415921,Senator Ben Cardin,D,Senator Ben Cardin - Democrat
109287731,-0.122271036,-0.064042579,-0.068869687,0.004827108,Sen. Jeanne Shaheen,D,Sen. Jeanne Shaheen - Democrat
1092979962,-0.1544362,-0.038989121,-0.050097853,0.011108731,Archive: Rep. Cheri Bustos,D,Archive: Rep. Cheri Bustos - Democrat
1096059529,0.130261741,0.027453861,0.021332925,0.006120936,Jim Risch,R,Jim Risch - Republican
1099199839,-0.136375609,-0.084392374,-0.087327401,0.002935027,Martin Heinrich,D,Martin Heinrich - Democrat
110445334,0.303522441,0.260974835,0.317439729,-0.056464894,Megyn Kelly,R,Megyn Kelly - Political commentator and journalist (Not a politician)
111129113,-0.115416553,-4.05E-04,-0.013781793,0.013377292,Andrew Zadarnowski,NA,Andrew Zadarnowski - Information not available
11134252,0.292029276,0.251391613,0.315322579,-0.063930966,GOP,R,GOP - Republican Party
112047805,0.50769792,0.37225545,0.427181264,-0.054925814,Brit Hume,R,Brit Hume - Political commentator and journalist (Not a politician)
112740986,-0.10917706,-0.016496745,-0.030576289,0.014079544,Archive: Rep. Ron Kind,D,Archive: Rep. Ron Kind - Democrat
1128514404,0.048138626,0.00560221,-0.008721729,0.014323939,Rep. David Valadao,R,Rep. David Valadao - Republican
113047940,0.07093695,0.027659941,0.052831793,-0.025171852,Jeb Bush,R,Jeb Bush - Republican (Former Governor of Florida)
113364160,-0.15771261,-0.041236318,-0.051805095,0.010568776,Jordan,NA,Jordan - Information not available (may refer to a person or entity)
1135486501,-0.143193166,-0.027901979,-0.040234065,0.012332087,Rep. Scott Peters,D,Rep. Scott Peters - Democrat
1.14E+18,0.446657054,0.056583904,0.040716763,0.015867141,Congressman Fred Keller,R,Congressman Fred Keller - Republican
114009456,0.413462777,0.049824779,0.049036355,7.88E-04,Caleb Bonham,R,Caleb Bonham - Political commentator and strategist (Not a politician)
1140648348,-0.143021041,-0.027655844,-0.038615643,0.010959799,Rep. Debbie Wasserman Schultz,D,Rep. Debbie Wasserman Schultz - Democrat
114870265,-0.193210089,-0.069603716,-0.07811871,0.008514993,Peter Beinart,D,Peter Beinart - Political commentator and journalist (Not a politician)
1155335864,-0.143814785,-0.032781257,-0.045942178,0.013160921,"Congressman Donald M. Payne, Jr.",D,"Congressman Donald M. Payne, Jr. - Democrat"
11651202,0.268656434,0.064313981,0.055019954,0.009294027,Steve Daines,R,Steve Daines - Republican (Senator)
1.17E+18,0.562145509,0.072084569,0.057920881,0.014163688,"Congressman Greg Murphy, M.D.",R,"Congressman Greg Murphy, M.D. - Republican"
11740172,-0.207941008,-0.014043486,-0.030511378,0.016467892,Charles Jaco,I,Charles Jaco - Political commentator and journalist (Not a politician)
117501995,-0.172887493,-0.095654703,-0.096956593,0.00130189,Sen. Maria Cantwell,D,Sen. Maria Cantwell - Democrat
1.18E+18,0.499291429,0.055100947,0.033497631,0.021603316,Rep. Dan Bishop,R,Rep. Dan Bishop - Republican
118756393,0.216620476,0.122556948,0.148696587,-0.026139639,John Bolton,R,John Bolton - Former National Security Advisor (Not a politician)
1206227149,-0.234588487,-0.014534842,-0.024428923,0.009894082,Rep. Mark Pocan,D,Rep. Mark Pocan - Democrat
120852788,0.072606576,0.008861973,-0.002967782,0.011829755,Dr. David I. Ramadan,R,Dr. David I. Ramadan - Information not available
1209417007,0.379310497,0.197770665,0.212634564,-0.014863899,Steve Scalise,R,Steve Scalise - Republican
1209936918,0.576215499,0.407785483,0.461263191,-0.053477708,One America News,R,One America News - Conservative news network (Not a politician)
122174004,-0.136039347,-0.03128328,-0.041601312,0.010318032,Dina Titus,D,Dina Titus - Democrat
1222257180,-0.148978585,-0.030581003,-0.042806163,0.01222516,Rep. Tony Cárdenas,D,Rep. Tony C�rdenas - Democrat
122226401,0.311314076,0.059052684,0.053085115,0.005967569,Michelle Fields,R,Michelle Fields - Political commentator and journalist (Not a politician)
1222639789,0.078450942,0.031522712,0.051960218,-0.020437506,Vince McMahon,R,Vince McMahon - Businessman and WWE Chairman (Not a politician)
124224165,0.011651162,0.001182569,-0.012709776,0.013892345,Rep. Fred Upton,R,Rep. Fred Upton - Republican
1243902714,-0.144695771,-0.02880612,-0.040540132,0.011734012,Congresswoman Julia Brownley,D,Congresswoman Julia Brownley - Democrat
124490608,-0.21956443,-0.065671883,-0.075588526,0.009916644,Maria Cardona,D,Maria Cardona - Political commentator and strategist (Not a politician)
125115830,-0.242149021,-0.050282533,-0.063012531,0.012729998,Michael Tomasky,D,Michael Tomasky - Political commentator and journalist (Not a politician)
125375423,0.061527413,0.011702073,0.002519538,0.009182535,Sean T at RCP is a free elf,R,Sean T at RCP is a free elf - Information not available (may refer to a American journalist and political analyst specializing in American elections analysis.)
1260172386,-0.117106648,-0.028307554,-0.040274025,0.011966471,Rep. Juan Vargas,D,Rep. Juan Vargas - Democrat
1262099252,-0.152434513,-0.045549658,-0.05544777,0.009898112,Senator Brian Schatz,D,Senator Brian Schatz - Democrat
1.26E+18,0.453874671,0.039016083,0.023622804,0.015393279,Rep. Mike Garcia,R,Rep. Mike Garcia - Republican
1.27E+18,0.407441047,0.035131287,0.01693133,0.018199957,Rep. Tom Tiffany,R,Rep. Tom Tiffany - Republican
12684662,0.691772054,0.105159766,0.100502966,0.0046568,KenMatthews,R,Ken Matthews - Political commentator and radio host (Not a politician)
1.27E+18,0.493088304,0.052682862,0.03532445,0.017358413,Rep. James Comer,R,Rep. James Comer - Republican
1.28E+18,-0.173770337,-0.0093884,-0.019530055,0.010141655,Kweisi Mfume,D,Kweisi Mfume - Democrat
1.28E+18,0.225453881,0.016927575,0.001625027,0.015302548,Chris Jacobs,R,Chris Jacobs - Republican
1.28E+18,-0.1690773,-0.029424735,-0.037309211,0.007884476,Rep. Ritchie Torres,D,Rep. Ritchie Torres - Democrat
12889162,0.096576278,0.018481494,0.012594103,0.005887391,Kristen Soltis Anderson,R,Kristen Soltis Anderson - Political commentator and strategist (Not a politician)
130617778,-0.231467975,-0.224209169,-0.215812959,-0.00839621,Keith Olbermann,D,Keith Olbermann - Political commentator and journalist (Not a politician)
131546062,0.304366916,0.132253475,0.141249564,-0.008996089,Rick Scott,R,Rick Scott - Republican (Senator)
1.32E+18,-0.240624083,-0.049148196,-0.056313436,0.00716524,Senator John Hickenlooper,D,Senator John Hickenlooper - Democrat
13218102,0.308835207,0.132300706,0.141390932,-0.009090226,Senator John Cornyn,R,Senator John Cornyn - Republican
1.32E+18,-0.257816384,-0.096816779,-0.099369029,0.00255225,Senator Mark Kelly,D,Senator Mark Kelly - Democrat
1.33E+18,0.315427427,0.041966525,0.031058709,0.010907816,Rep. María Elvira Salazar,R,Rep. Mar�a Elvira Salazar - Republican
1.33E+18,-0.189032997,-0.016346495,-0.027783691,0.011437196,Rep. Jake Auchincloss,D,Rep. Jake Auchincloss - Democrat
1330457336,-0.184253256,-0.377837793,-0.307490178,-0.070347616,Bill Clinton,D,Bill Clinton - Democrat (Former President)
1.33E+18,-0.090809334,-0.019598661,-0.032144337,0.012545676,Peter Meijer,R,Peter Meijer - Republican
133602436,-0.094095227,-0.002638982,-0.013976745,0.011337764,Josh Bernstein,R,Josh Bernstein - Political commentator and radio host (Not a politician)
1.34E+18,-0.123733892,-0.008991119,-0.019161305,0.010170186,Congresswoman Kathy Manning,D,Congresswoman Kathy Manning - Democrat
1.34E+18,0.262271532,0.024490145,0.009971136,0.014519008,Congressman Blake Moore,R,Congressman Blake Moore - Republican
1.34E+18,0.384191703,0.032275799,0.011437609,0.020838189,Rep. Barry Moore,R,Rep. Barry Moore - Republican
13393052,-0.256117436,-0.3088226,-0.287345291,-0.021477309,ACLU,D,ACLU - Nonpartisan civil liberties organization (Not a political party)
1.34E+18,0.52470765,0.066016399,0.050861595,0.015154803,Congresswoman Beth Van Duyne,R,Congresswoman Beth Van Duyne - Republican
1339835893,-0.179348885,-0.449372218,-0.363176885,-0.086195334,Hillary Clinton,D,Hillary Clinton - Democrat (Former Secretary of State and Presidential Candidate)
1339931490,-0.17625124,-0.039004373,-0.050954066,0.011949692,Robin Kelly,D,Robin Kelly - Democrat
1.34E+18,0.432968717,0.048154271,0.033136014,0.015018257,Ashley Hinson,R,Ashley Hinson - Republican
1.34E+18,0.350570617,0.023200069,0.005028961,0.018171108,Rep. Jerry Carl,R,Rep. Jerry Carl - Republican
1.34E+18,0.429192873,0.042655206,0.023236872,0.019418334,Rep. August Pfluger,R,Rep. August Pfluger - Republican
1.34E+18,0.523206241,0.052035962,0.036378062,0.0156579,Ronny Jackson,R,Ronny Jackson - Republican
1.34E+18,0.614564449,0.058335733,0.047819102,0.01051663,Rep. Lauren Boebert,R,Rep. Lauren Boebert - Republican
1.34E+18,0.456152171,0.047904027,0.029186085,0.018717942,Rep. Pat Fallon,R,Rep. Pat Fallon - Republican
1.34E+18,-0.267513765,-0.072483941,-0.07881187,0.006327929,Former Congresswoman Marie Newman,D,Former Congresswoman Marie Newman - Democrat
1.34E+18,0.301951701,0.053988884,0.044474157,0.009514727,Rep. Nancy Mace,R,Rep. Nancy Mace - Republican
134360868,0.517132538,0.124111152,0.122091949,0.002019203,Tom Woods,R,Tom Woods - Political commentator and author (Not a politician)
1.34E+18,-0.203103476,-0.017599019,-0.027804435,0.010205416,Rep. Carolyn Bourdeaux,D,Rep. Carolyn Bourdeaux - Democrat
1.34E+18,0.416705691,0.035518131,0.020622392,0.014895739,Rep. Tony Gonzales,R,Rep. Tony Gonzales - Republican
1.34E+18,-0.203841715,-0.017643439,-0.027119277,0.009475839,Congresswoman Marilyn Strickland,D,Congresswoman Marilyn Strickland - Democrat
1.34E+18,0.515360015,0.062373852,0.045896438,0.016477414,Rep. Mary Miller,R,Rep. Mary Miller - Republican
1.34E+18,0.389265102,0.034431411,0.017639523,0.016791888,Congressman Scott Franklin,R,Congressman Scott Franklin - Republican
1.34E+18,0.280184441,0.031753412,0.015032864,0.016720548,Rep. Carlos A. Gimenez,R,Rep. Carlos A. Gimenez - Republican
1.34E+18,0.409657092,0.043151535,0.031186141,0.011965394,Rep. Michelle Steel,R,Rep. Michelle Steel - Republican
1.34E+18,0.582316274,0.092413089,0.080150046,0.012263043,Congressman Byron Donalds,R,Congressman Byron Donalds - Republican
1.34E+18,0.598997029,0.130450379,0.126620694,0.003829685,Rep. Madison Cawthorn,R,Rep. Madison Cawthorn - Republican
1.34E+18,0.433874717,0.044028019,0.026369815,0.017658203,Representative Lisa McClain,R,Representative Lisa McClain - Republican
1.34E+18,0.40193751,0.042035599,0.02658294,0.015452659,Rep. Stephanie Bice,R,Rep. Stephanie Bice - Republican
1.34E+18,0.525666057,0.061421233,0.045219365,0.016201868,Rep. Cammack Press Office,R,Rep. Cammack Press Office - Republican (Kat Cammack is a Republican Representative)
1.34E+18,0.266977533,0.021300192,0.005412107,0.015888085,Rep. Andrew Garbarino,R,Rep. Andrew Garbarino - Republican
1.34E+18,0.56488286,0.208370411,0.218178124,-0.009807714,Rep. Marjorie Taylor Greene🇺🇸,R,Rep. Marjorie Taylor Greene____ - Republican
1.34E+18,0.451842666,0.036579565,0.022393139,0.014186426,Rep. Michelle Fischbach,R,Rep. Michelle Fischbach - Republican
1.34E+18,-0.26937786,-0.051352085,-0.059540391,0.008188305,Congressman Jamaal Bowman,D,Congressman Jamaal Bowman - Democrat
1.34E+18,0.467075076,0.054108875,0.036960553,0.017148322,Rep. Yvette Herrell,R,Rep. Yvette Herrell - Republican
1.34E+18,0.609258058,0.081940967,0.076074066,0.005866902,Rep. Burgess Owens,R,Rep. Burgess Owens - Republican
1.34E+18,0.358649592,0.044730437,0.032993803,0.011736634,Young Kim,R,Young Kim - Republican
1.34E+18,0.359009018,0.039612151,0.024562445,0.015049706,Office of Rep. Nicole Malliotakis,R,Office of Rep. Nicole Malliotakis - Republican
1.34E+18,0.494861476,0.055476886,0.039949203,0.015527682,Matt Rosendale,R,Matt Rosendale - Republican
1.34E+18,0.433827568,0.044375855,0.03009822,0.014277635,Rep. Victoria Spartz,R,Rep. Victoria Spartz - Republican
1.35E+18,-0.222860272,-0.030800132,-0.040274866,0.009474734,Congresswoman Sara Jacobs,D,Congresswoman Sara Jacobs - Democrat
1.35E+18,0.28144698,0.024684297,0.007470713,0.017213584,Rep. Randy Feenstra,R,Rep. Randy Feenstra - Republican
1.35E+18,-0.157066489,-0.014450608,-0.024286023,0.009835415,Rep. Teresa Leger Fernández,D,Rep. Teresa Leger Fern�ndez - Democrat
1.35E+18,-0.250908912,-0.033023558,-0.041804369,0.008780812,Congresswoman Nikema Williams,D,Congresswoman Nikema Williams - Democrat
1.35E+18,0.429088368,0.035501933,0.017302145,0.018199789,Congressman Bob Good,R,Congressman Bob Good - Republican
1.35E+18,0.490737943,0.05254618,0.03978775,0.01275843,Coach Tommy Tuberville,R,Coach Tommy Tuberville - Republican (Senator)
1.35E+18,0.478081836,0.043295598,0.025412373,0.017883225,Rep. Diana Harshbarger,R,Rep. Diana Harshbarger - Republican
1.35E+18,0.191198313,0.017250188,0.001319106,0.015931082,Congressman Cliff Bentz,R,Congressman Cliff Bentz - Republican
